STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AL,Albania,2021,,123797,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AL,Albania,2022,,123880,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AL,Albania,2023,,121352,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2013,,422778,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2014,,421225,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2015,,425972,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2016,,431125,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2017,,430370,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2018,,430195,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2019,,423049,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2020,,422032,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2021,,438383,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2022,,439477,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),AT,Austria,2023,,436100,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2018,,95142,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2019,,89016,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2020,,82909,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2021,,82744,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2022,,79148,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BA,Bosnia and Herzegovina,2023,,76962,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2013,,488488,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2014,,495910,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2015,,504745,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2016,,508270,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2017,,526760,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2018,,515530,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2019,,519212,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2020,,521201,,bd,"break in time series, definition differs (see metadata)",,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2021,,539777,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2022,,549399,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BE,Belgium,2023,,550999,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2013,,283959,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2014,,283294,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2015,,278953,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2016,,266707,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2017,,249937,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2018,,236335,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2019,,229464,,,,,
dataflow,ESTAT:EDUC_UOE_ENRT02(1.0),"Students enrolled in tertiary education by education level, programme orientation, sex and age",A,Annual,NR,Number,TOTAL,Total,T,Total,ED5-8,Tertiary education (levels 5-8),BG,Bulgaria,2020,,226608,,,,,
