STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AL,Albania,2021,,13.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AL,Albania,2022,,14.9,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2013,,22.2,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2014,,23.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2015,,21.9,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2016,,22.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2017,,22.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2018,,22.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2019,,23.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2020,,24.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2021,,25.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2022,,24.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,AT,Austria,2023,,24.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2013,,13.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2014,,14.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2015,,13.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2016,,14.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2017,,13.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2018,,14.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2019,,14.2,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2020,,15.7,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2021,,16.4,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2022,,16.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BE,Belgium,2023,,17.2,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2013,,14.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2014,,14.2,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2015,,14.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2016,,13.9,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2017,,14.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2018,,13.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2019,,14.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2020,,13.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2021,,14.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2022,,14.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,BG,Bulgaria,2023,,16.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2013,,17.5,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2014,,18.4,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2015,,20.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2016,,20.3,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2017,,20.7,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2018,,21.2,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2019,,22.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2020,,21.8,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2021,,23.7,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CH,Switzerland,2022,,24.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CY,Cyprus,2013,,6.6,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CY,Cyprus,2014,,7.5,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CY,Cyprus,2015,,10.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CY,Cyprus,2016,,10.2,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CY,Cyprus,2017,,10.1,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CY,Cyprus,2018,,10.0,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD04(1.0),"Graduates in tertiary education, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 20-29",A,Annual,P_THAB,Per thousand inhabitants,ED5-8,Tertiary education (levels 5-8),T,Total,CY,Cyprus,2019,,10.2,,,,,
