STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1995,,46.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1996,,44.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1997,,43.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1998,,41.8,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1999,,42.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2000,,42.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2001,,41.6,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2002,,43.0,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2003,,42.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2004,,38.6,,b,break in time series,,
