STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1995,,8.8,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1996,,9.1,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1997,,10.9,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1998,,10.7,,b,break in time series,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,1999,,7.8,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2000,,8.2,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2001,,8.1,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2002,,8.5,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2003,,11.1,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2004,,19.1,,b,break in time series,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2005,,16.3,,b,break in time series,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2006,,14.9,,b,break in time series,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2007,,13.4,,b,break in time series,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2008,,13.1,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2009,,15.8,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2010,,13.4,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2011,,13.0,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2012,,14.4,,,,,
dataflow,ESTAT:YTH_EMPL_090(1.0),"Youth unemployment by sex, age and educational attainment level",A,Annual,T,Total,Y15-29,From 15 to 29 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2013,,14.1,,,,,
